$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.4,0.4,8.7,8.7,0.514
0.4,0.4,8.8,8.8,0.476
0.4,0.4,8.9,8.9,0.492
0.4,0.4,9.0,9.0,0.506
0.4,0.4,9.1,9.1,0.51
0.4,0.4,9.2,9.2,0.474
0.4,0.4,9.3,9.3,0.498
0.4,0.4,9.4,9.4,0.48
0.4,0.4,9.5,9.5,0.532
0.4,0.4,9.6,9.6,0.53
0.4,0.4,9.7,9.7,0.55
0.4,0.4,9.8,9.8,0.476
0.4,0.4,9.9,9.9,0.526
0.4,0.4,10.0,10.0,0.5
0.4,0.4,10.1,10.1,0.502
0.4,0.4,10.2,10.2,0.472
0.4,0.4,10.3,10.3,0.536
0.4,0.4,10.4,10.4,0.49
0.4,0.4,10.5,10.5,0.476
0.4,0.4,10.6,10.6,0.482
0.4,0.4,10.7,10.7,0.53
0.4,0.4,10.8,10.8,0.484
0.4,0.4,10.9,10.9,0.49
0.4,0.4,11.0,11.0,0.51
0.4,0.4,11.1,11.1,0.48
0.4,0.4,11.2,11.2,0.536
0.4,0.4,11.3,11.3,0.496
0.4,0.4,11.4,11.4,0.464
0.4,0.4,11.5,11.5,0.498
0.4,0.4,11.6,11.6,0.502
0.4,0.4,11.7,11.7,0.472
0.4,0.4,11.8,11.8,0.514
0.4,0.4,11.9,11.9,0.496
0.4,0.4,12.0,12.0,0.552
0.4,0.4,12.1,12.1,0.5
0.4,0.4,12.2,12.2,0.492
0.4,0.4,12.3,12.3,0.5
0.4,0.4,12.4,12.4,0.48
0.4,0.4,12.5,12.5,0.524
0.4,0.4,12.6,12.6,0.47
0.4,0.4,12.7,12.7,0.526
0.4,0.4,12.8,12.8,0.48
0.4,0.4,12.9,12.9,0.474
0.4,0.4,13.0,13.0,0.52
0.4,0.4,13.1,13.1,0.49
0.4,0.4,13.2,13.2,0.516
0.4,0.4,13.3,13.3,0.452
0.4,0.4,13.4,13.4,0.502
0.4,0.4,13.5,13.5,0.494
0.4,0.4,13.6,13.6,0.484
0.4,0.4,13.7,13.7,0.518
0.4,0.4,13.8,13.8,0.498
0.4,0.4,13.9,13.9,0.494
0.4,0.4,14.0,14.0,0.506
0.4,0.4,14.1,14.1,0.542
0.4,0.4,14.2,14.2,0.534
0.4,0.4,14.3,14.3,0.512
0.4,0.4,14.4,14.4,0.502
0.4,0.4,14.5,14.5,0.532
0.4,0.4,14.6,14.6,0.508
0.4,0.4,14.7,14.7,0.502
0.4,0.4,14.8,14.8,0.45
0.4,0.4,14.9,14.9,0.432
0.4,0.4,15.0,15.0,0.494
0.5,0.5,0.0,0.0,0.952
0.5,0.5,0.1,0.1,0.942
0.5,0.5,0.2,0.2,0.954
0.5,0.5,0.3,0.3,0.966
0.5,0.5,0.4,0.4,0.946
0.5,0.5,0.5,0.5,0.954
0.5,0.5,0.6,0.6,0.966
0.5,0.5,0.7,0.7,0.946
0.5,0.5,0.8,0.8,0.972
0.5,0.5,0.9,0.9,0.942
0.5,0.5,1.0,1.0,0.942
0.5,0.5,1.1,1.1,0.934
0.5,0.5,1.2,1.2,0.926
0.5,0.5,1.3,1.3,0.938
0.5,0.5,1.4,1.4,0.938
0.5,0.5,1.5,1.5,0.954
0.5,0.5,1.6,1.6,0.928
0.5,0.5,1.7,1.7,0.948
0.5,0.5,1.8,1.8,0.938
0.5,0.5,1.9,1.9,0.934
0.5,0.5,2.0,2.0,0.902
0.5,0.5,2.1,2.1,0.926
0.5,0.5,2.2,2.2,0.896
0.5,0.5,2.3,2.3,0.9
0.5,0.5,2.4,2.4,0.886
0.5,0.5,2.5,2.5,0.892
0.5,0.5,2.6,2.6,0.882
0.5,0.5,2.7,2.7,0.83
0.5,0.5,2.8,2.8,0.842
0.5,0.5,2.9,2.9,0.812
0.5,0.5,3.0,3.0,0.854
0.5,0.5,3.1,3.1,0.81
0.5,0.5,3.2,3.2,0.802
0.5,0.5,3.3,3.3,0.816
0.5,0.5,3.4,3.4,0.774
0.5,0.5,3.5,3.5,0.714
0.5,0.5,3.6,3.6,0.742
0.5,0.5,3.7,3.7,0.732
0.5,0.5,3.8,3.8,0.714
0.5,0.5,3.9,3.9,0.656
0.5,0.5,4.0,4.0,0.658
0.5,0.5,4.1,4.1,0.65
0.5,0.5,4.2,4.2,0.624
0.5,0.5,4.3,4.3,0.604
0.5,0.5,4.4,4.4,0.574
0.5,0.5,4.5,4.5,0.522
0.5,0.5,4.6,4.6,0.524
0.5,0.5,4.7,4.7,0.558
0.5,0.5,4.8,4.8,0.502
0.5,0.5,4.9,4.9,0.524
0.5,0.5,5.0,5.0,0.512
0.5,0.5,5.1,5.1,0.504
0.5,0.5,5.2,5.2,0.482
0.5,0.5,5.3,5.3,0.508
0.5,0.5,5.4,5.4,0.528
0.5,0.5,5.5,5.5,0.514
0.5,0.5,5.6,5.6,0.542
0.5,0.5,5.7,5.7,0.506
0.5,0.5,5.8,5.8,0.49
0.5,0.5,5.9,5.9,0.494
0.5,0.5,6.0,6.0,0.52
0.5,0.5,6.1,6.1,0.516
0.5,0.5,6.2,6.2,0.494
0.5,0.5,6.3,6.3,0.52
0.5,0.5,6.4,6.4,0.548
0.5,0.5,6.5,6.5,0.498
0.5,0.5,6.6,6.6,0.53
0.5,0.5,6.7,6.7,0.446
0.5,0.5,6.8,6.8,0.512
0.5,0.5,6.9,6.9,0.568
0.5,0.5,7.0,7.0,0.504
0.5,0.5,7.1,7.1,0.486
0.5,0.5,7.2,7.2,0.488
0.5,0.5,7.3,7.3,0.51
0.5,0.5,7.4,7.4,0.476
0.5,0.5,7.5,7.5,0.522
0.5,0.5,7.6,7.6,0.492
0.5,0.5,7.7,7.7,0.512
0.5,0.5,7.8,7.8,0.512
0.5,0.5,7.9,7.9,0.518
0.5,0.5,8.0,8.0,0.562
0.5,0.5,8.1,8.1,0.524
0.5,0.5,8.2,8.2,0.512
0.5,0.5,8.3,8.3,0.492
0.5,0.5,8.4,8.4,0.482
0.5,0.5,8.5,8.5,0.468
0.5,0.5,8.6,8.6,0.52
0.5,0.5,8.7,8.7,0.466
0.5,0.5,8.8,8.8,0.448
0.5,0.5,8.9,8.9,0.516
0.5,0.5,9.0,9.0,0.526
0.5,0.5,9.1,9.1,0.504
0.5,0.5,9.2,9.2,0.536
0.5,0.5,9.3,9.3,0.516
0.5,0.5,9.4,9.4,0.514
0.5,0.5,9.5,9.5,0.498
0.5,0.5,9.6,9.6,0.508
0.5,0.5,9.7,9.7,0.486
0.5,0.5,9.8,9.8,0.504
0.5,0.5,9.9,9.9,0.482
0.5,0.5,10.0,10.0,0.502
0.5,0.5,10.1,10.1,0.474
0.5,0.5,10.2,10.2,0.522
0.5,0.5,10.3,10.3,0.494
0.5,0.5,10.4,10.4,0.478
0.5,0.5,10.5,10.5,0.508
0.5,0.5,10.6,10.6,0.538
0.5,0.5,10.7,10.7,0.518
0.5,0.5,10.8,10.8,0.518
0.5,0.5,10.9,10.9,0.538
0.5,0.5,11.0,11.0,0.476
0.5,0.5,11.1,11.1,0.504
0.5,0.5,11.2,11.2,0.504
0.5,0.5,11.3,11.3,0.486
0.5,0.5,11.4,11.4,0.496
0.5,0.5,11.5,11.5,0.492
0.5,0.5,11.6,11.6,0.504
0.5,0.5,11.7,11.7,0.52
0.5,0.5,11.8,11.8,0.496
0.5,0.5,11.9,11.9,0.508
0.5,0.5,12.0,12.0,0.488
0.5,0.5,12.1,12.1,0.518
0.5,0.5,12.2,12.2,0.46
0.5,0.5,12.3,12.3,0.508
0.5,0.5,12.4,12.4,0.524
0.5,0.5,12.5,12.5,0.526
0.5,0.5,12.6,12.6,0.506
0.5,0.5,12.7,12.7,0.512
0.5,0.5,12.8,12.8,0.502
0.5,0.5,12.9,12.9,0.48
0.5,0.5,13.0,13.0,0.49
0.5,0.5,13.1,13.1,0.496
0.5,0.5,13.2,13.2,0.48
0.5,0.5,13.3,13.3,0.468
0.5,0.5,13.4,13.4,0.496
0.5,0.5,13.5,13.5,0.492
0.5,0.5,13.6,13.6,0.484
0.5,0.5,13.7,13.7,0.502
0.5,0.5,13.8,13.8,0.51
0.5,0.5,13.9,13.9,0.514
0.5,0.5,14.0,14.0,0.472
0.5,0.5,14.1,14.1,0.45
0.5,0.5,14.2,14.2,0.474
0.5,0.5,14.3,14.3,0.474
0.5,0.5,14.4,14.4,0.508
0.5,0.5,14.5,14.5,0.474
0.5,0.5,14.6,14.6,0.51
0.5,0.5,14.7,14.7,0.502
0.5,0.5,14.8,14.8,0.458
0.5,0.5,14.9,14.9,0.518
0.5,0.5,15.0,15.0,0.522
0.6,0.6,0.0,0.0,0.952
0.6,0.6,0.1,0.1,0.948
0.6,0.6,0.2,0.2,0.968
0.6,0.6,0.3,0.3,0.946
0.6,0.6,0.4,0.4,0.942
0.6,0.6,0.5,0.5,0.942
0.6,0.6,0.6,0.6,0.948
0.6,0.6,0.7,0.7,0.936
0.6,0.6,0.8,0.8,0.944
0.6,0.6,0.9,0.9,0.95
0.6,0.6,1.0,1.0,0.954
0.6,0.6,1.1,1.1,0.94
0.6,0.6,1.2,1.2,0.93
0.6,0.6,1.3,1.3,0.952
0.6,0.6,1.4,1.4,0.94
0.6,0.6,1.5,1.5,0.946
0.6,0.6,1.6,1.6,0.952
0.6,0.6,1.7,1.7,0.958
0.6,0.6,1.8,1.8,0.954
0.6,0.6,1.9,1.9,0.924
0.6,0.6,2.0,2.0,0.948
0.6,0.6,2.1,2.1,0.928
0.6,0.6,2.2,2.2,0.928
0.6,0.6,2.3,2.3,0.91
0.6,0.6,2.4,2.4,0.908
0.6,0.6,2.5,2.5,0.91
0.6,0.6,2.6,2.6,0.882
0.6,0.6,2.7,2.7,0.914
0.6,0.6,2.8,2.8,0.866
0.6,0.6,2.9,2.9,0.846
0.6,0.6,3.0,3.0,0.818
0.6,0.6,3.1,3.1,0.826
0.6,0.6,3.2,3.2,0.824
0.6,0.6,3.3,3.3,0.822
0.6,0.6,3.4,3.4,0.802
0.6,0.6,3.5,3.5,0.788
0.6,0.6,3.6,3.6,0.778
0.6,0.6,3.7,3.7,0.772
0.6,0.6,3.8,3.8,0.678
0.6,0.6,3.9,3.9,0.702
0.6,0.6,4.0,4.0,0.712
0.6,0.6,4.1,4.1,0.628
0.6,0.6,4.2,4.2,0.676
0.6,0.6,4.3,4.3,0.64
0.6,0.6,4.4,4.4,0.612
0.6,0.6,4.5,4.5,0.624
0.6,0.6,4.6,4.6,0.594
0.6,0.6,4.7,4.7,0.556
0.6,0.6,4.8,4.8,0.572
0.6,0.6,4.9,4.9,0.542
0.6,0.6,5.0,5.0,0.538
0.6,0.6,5.1,5.1,0.53
0.6,0.6,5.2,5.2,0.502
0.6,0.6,5.3,5.3,0.478
0.6,0.6,5.4,5.4,0.532
0.6,0.6,5.5,5.5,0.508
0.6,0.6,5.6,5.6,0.486
0.6,0.6,5.7,5.7,0.522
0.6,0.6,5.8,5.8,0.514
0.6,0.6,5.9,5.9,0.472
0.6,0.6,6.0,6.0,0.526
0.6,0.6,6.1,6.1,0.468
0.6,0.6,6.2,6.2,0.494
0.6,0.6,6.3,6.3,0.534
0.6,0.6,6.4,6.4,0.514
0.6,0.6,6.5,6.5,0.458
0.6,0.6,6.6,6.6,0.488
0.6,0.6,6.7,6.7,0.53
0.6,0.6,6.8,6.8,0.504
0.6,0.6,6.9,6.9,0.514
0.6,0.6,7.0,7.0,0.476
0.6,0.6,7.1,7.1,0.504
0.6,0.6,7.2,7.2,0.474
0.6,0.6,7.3,7.3,0.522
0.6,0.6,7.4,7.4,0.498
0.6,0.6,7.5,7.5,0.494
0.6,0.6,7.6,7.6,0.46
0.6,0.6,7.7,7.7,0.5
0.6,0.6,7.8,7.8,0.49
0.6,0.6,7.9,7.9,0.49
0.6,0.6,8.0,8.0,0.536
0.6,0.6,8.1,8.1,0.5
0.6,0.6,8.2,8.2,0.502
0.6,0.6,8.3,8.3,0.486
0.6,0.6,8.4,8.4,0.506
0.6,0.6,8.5,8.5,0.514
0.6,0.6,8.6,8.6,0.478
0.6,0.6,8.7,8.7,0.51
0.6,0.6,8.8,8.8,0.522
0.6,0.6,8.9,8.9,0.49
0.6,0.6,9.0,9.0,0.546
0.6,0.6,9.1,9.1,0.496
0.6,0.6,9.2,9.2,0.534
0.6,0.6,9.3,9.3,0.49
0.6,0.6,9.4,9.4,0.476
0.6,0.6,9.5,9.5,0.536
0.6,0.6,9.6,9.6,0.494
0.6,0.6,9.7,9.7,0.464
0.6,0.6,9.8,9.8,0.496
0.6,0.6,9.9,9.9,0.52
0.6,0.6,10.0,10.0,0.496
0.6,0.6,10.1,10.1,0.522
0.6,0.6,10.2,10.2,0.478
0.6,0.6,10.3,10.3,0.514
0.6,0.6,10.4,10.4,0.528
0.6,0.6,10.5,10.5,0.484
0.6,0.6,10.6,10.6,0.49
0.6,0.6,10.7,10.7,0.496
0.6,0.6,10.8,10.8,0.52
0.6,0.6,10.9,10.9,0.506
0.6,0.6,11.0,11.0,0.526
0.6,0.6,11.1,11.1,0.536
0.6,0.6,11.2,11.2,0.484
0.6,0.6,11.3,11.3,0.516
0.6,0.6,11.4,11.4,0.514
0.6,0.6,11.5,11.5,0.48
0.6,0.6,11.6,11.6,0.464
0.6,0.6,11.7,11.7,0.47
0.6,0.6,11.8,11.8,0.528
0.6,0.6,11.9,11.9,0.504
0.6,0.6,12.0,12.0,0.486
0.6,0.6,12.1,12.1,0.506
0.6,0.6,12.2,12.2,0.47
0.6,0.6,12.3,12.3,0.49
0.6,0.6,12.4,12.4,0.504
0.6,0.6,12.5,12.5,0.516
0.6,0.6,12.6,12.6,0.494
0.6,0.6,12.7,12.7,0.478
0.6,0.6,12.8,12.8,0.526
0.6,0.6,12.9,12.9,0.446
0.6,0.6,13.0,13.0,0.468
0.6,0.6,13.1,13.1,0.476
0.6,0.6,13.2,13.2,0.486
0.6,0.6,13.3,13.3,0.512
0.6,0.6,13.4,13.4,0.474
0.6,0.6,13.5,13.5,0.496
0.6,0.6,13.6,13.6,0.478
0.6,0.6,13.7,13.7,0.546
0.6,0.6,13.8,13.8,0.488
0.6,0.6,13.9,13.9,0.5
0.6,0.6,14.0,14.0,0.488
0.6,0.6,14.1,14.1,0.498
0.6,0.6,14.2,14.2,0.524
0.6,0.6,14.3,14.3,0.482
0.6,0.6,14.4,14.4,0.518
0.6,0.6,14.5,14.5,0.488
0.6,0.6,14.6,14.6,0.51
0.6,0.6,14.7,14.7,0.518
0.6,0.6,14.8,14.8,0.5
0.6,0.6,14.9,14.9,0.518
0.6,0.6,15.0,15.0,0.488
0.7,0.7,0.0,0.0,0.956
0.7,0.7,0.1,0.1,0.934
0.7,0.7,0.2,0.2,0.95
0.7,0.7,0.3,0.3,0.962
0.7,0.7,0.4,0.4,0.942
0.7,0.7,0.5,0.5,0.954
0.7,0.7,0.6,0.6,0.954
0.7,0.7,0.7,0.7,0.952
0.7,0.7,0.8,0.8,0.946
0.7,0.7,0.9,0.9,0.948
0.7,0.7,1.0,1.0,0.954
0.7,0.7,1.1,1.1,0.946
0.7,0.7,1.2,1.2,0.94
0.7,0.7,1.3,1.3,0.952
0.7,0.7,1.4,1.4,0.936
0.7,0.7,1.5,1.5,0.938
0.7,0.7,1.6,1.6,0.924
0.7,0.7,1.7,1.7,0.952
0.7,0.7,1.8,1.8,0.944
0.7,0.7,1.9,1.9,0.936
0.7,0.7,2.0,2.0,0.928
0.7,0.7,2.1,2.1,0.93
0.7,0.7,2.2,2.2,0.9
0.7,0.7,2.3,2.3,0.9
0.7,0.7,2.4,2.4,0.908
0.7,0.7,2.5,2.5,0.886
0.7,0.7,2.6,2.6,0.888
0.7,0.7,2.7,2.7,0.878
0.7,0.7,2.8,2.8,0.886
0.7,0.7,2.9,2.9,0.872
0.7,0.7,3.0,3.0,0.844
0.7,0.7,3.1,3.1,0.846
0.7,0.7,3.2,3.2,0.836
0.7,0.7,3.3,3.3,0.81
0.7,0.7,3.4,3.4,0.774
0.7,0.7,3.5,3.5,0.768
0.7,0.7,3.6,3.6,0.79
0.7,0.7,3.7,3.7,0.75
0.7,0.7,3.8,3.8,0.754
0.7,0.7,3.9,3.9,0.716
0.7,0.7,4.0,4.0,0.696
0.7,0.7,4.1,4.1,0.708
0.7,0.7,4.2,4.2,0.698
0.7,0.7,4.3,4.3,0.63
0.7,0.7,4.4,4.4,0.62
0.7,0.7,4.5,4.5,0.594
0.7,0.7,4.6,4.6,0.6
0.7,0.7,4.7,4.7,0.544
0.7,0.7,4.8,4.8,0.61
0.7,0.7,4.9,4.9,0.512
0.7,0.7,5.0,5.0,0.522
0.7,0.7,5.1,5.1,0.512
0.7,0.7,5.2,5.2,0.518
0.7,0.7,5.3,5.3,0.502
0.7,0.7,5.4,5.4,0.488
0.7,0.7,5.5,5.5,0.52
0.7,0.7,5.6,5.6,0.496
0.7,0.7,5.7,5.7,0.46
0.7,0.7,5.8,5.8,0.478
0.7,0.7,5.9,5.9,0.498
0.7,0.7,6.0,6.0,0.514
0.7,0.7,6.1,6.1,0.492
0.7,0.7,6.2,6.2,0.53
0.7,0.7,6.3,6.3,0.512
0.7,0.7,6.4,6.4,0.534
0.7,0.7,6.5,6.5,0.52
0.7,0.7,6.6,6.6,0.504
0.7,0.7,6.7,6.7,0.526
0.7,0.7,6.8,6.8,0.542
0.7,0.7,6.9,6.9,0.514
0.7,0.7,7.0,7.0,0.452
0.7,0.7,7.1,7.1,0.502
0.7,0.7,7.2,7.2,0.488
0.7,0.7,7.3,7.3,0.492
0.7,0.7,7.4,7.4,0.518
0.7,0.7,7.5,7.5,0.51
0.7,0.7,7.6,7.6,0.452
0.7,0.7,7.7,7.7,0.486
0.7,0.7,7.8,7.8,0.448
0.7,0.7,7.9,7.9,0.502
0.7,0.7,8.0,8.0,0.464
0.7,0.7,8.1,8.1,0.488
0.7,0.7,8.2,8.2,0.508
0.7,0.7,8.3,8.3,0.522
0.7,0.7,8.4,8.4,0.526
0.7,0.7,8.5,8.5,0.534
0.7,0.7,8.6,8.6,0.502
0.7,0.7,8.7,8.7,0.496
0.7,0.7,8.8,8.8,0.52
0.7,0.7,8.9,8.9,0.47
0.7,0.7,9.0,9.0,0.518
0.7,0.7,9.1,9.1,0.516
0.7,0.7,9.2,9.2,0.518
0.7,0.7,9.3,9.3,0.508
0.7,0.7,9.4,9.4,0.492
0.7,0.7,9.5,9.5,0.454
0.7,0.7,9.6,9.6,0.484
0.7,0.7,9.7,9.7,0.476
0.7,0.7,9.8,9.8,0.498
0.7,0.7,9.9,9.9,0.48
0.7,0.7,10.0,10.0,0.444
0.7,0.7,10.1,10.1,0.506
0.7,0.7,10.2,10.2,0.502
0.7,0.7,10.3,10.3,0.494
0.7,0.7,10.4,10.4,0.498
0.7,0.7,10.5,10.5,0.5
0.7,0.7,10.6,10.6,0.474
0.7,0.7,10.7,10.7,0.492
0.7,0.7,10.8,10.8,0.506
0.7,0.7,10.9,10.9,0.508
0.7,0.7,11.0,11.0,0.49
0.7,0.7,11.1,11.1,0.496
0.7,0.7,11.2,11.2,0.528
0.7,0.7,11.3,11.3,0.5
0.7,0.7,11.4,11.4,0.524
0.7,0.7,11.5,11.5,0.536
0.7,0.7,11.6,11.6,0.494
0.7,0.7,11.7,11.7,0.526
0.7,0.7,11.8,11.8,0.518
0.7,0.7,11.9,11.9,0.518
0.7,0.7,12.0,12.0,0.5
0.7,0.7,12.1,12.1,0.532
0.7,0.7,12.2,12.2,0.524
0.7,0.7,12.3,12.3,0.526
0.7,0.7,12.4,12.4,0.502
0.7,0.7,12.5,12.5,0.498
0.7,0.7,12.6,12.6,0.52
0.7,0.7,12.7,12.7,0.506
0.7,0.7,12.8,12.8,0.534
0.7,0.7,12.9,12.9,0.504
0.7,0.7,13.0,13.0,0.504
0.7,0.7,13.1,13.1,0.504
0.7,0.7,13.2,13.2,0.496
0.7,0.7,13.3,13.3,0.49
0.7,0.7,13.4,13.4,0.508
0.7,0.7,13.5,13.5,0.516
0.7,0.7,13.6,13.6,0.518
0.7,0.7,13.7,13.7,0.456
0.7,0.7,13.8,13.8,0.506
0.7,0.7,13.9,13.9,0.508
0.7,0.7,14.0,14.0,0.514
0.7,0.7,14.1,14.1,0.486
0.7,0.7,14.2,14.2,0.508
0.7,0.7,14.3,14.3,0.496
0.7,0.7,14.4,14.4,0.468
0.7,0.7,14.5,14.5,0.5
0.7,0.7,14.6,14.6,0.496
0.7,0.7,14.7,14.7,0.506
0.7,0.7,14.8,14.8,0.512
0.7,0.7,14.9,14.9,0.518
0.7,0.7,15.0,15.0,0.544
0.8,0.8,0.0,0.0,0.942
0.8,0.8,0.1,0.1,0.952
0.8,0.8,0.2,0.2,0.946
0.8,0.8,0.3,0.3,0.962
0.8,0.8,0.4,0.4,0.954
0.8,0.8,0.5,0.5,0.97
0.8,0.8,0.6,0.6,0.95
0.8,0.8,0.7,0.7,0.96
0.8,0.8,0.8,0.8,0.964
0.8,0.8,0.9,0.9,0.94
0.8,0.8,1.0,1.0,0.954
0.8,0.8,1.1,1.1,0.964
0.8,0.8,1.2,1.2,0.934
0.8,0.8,1.3,1.3,0.954
0.8,0.8,1.4,1.4,0.95
0.8,0.8,1.5,1.5,0.956
0.8,0.8,1.6,1.6,0.95
0.8,0.8,1.7,1.7,0.926
0.8,0.8,1.8,1.8,0.938
0.8,0.8,1.9,1.9,0.948
0.8,0.8,2.0,2.0,0.912
0.8,0.8,2.1,2.1,0.926
0.8,0.8,2.2,2.2,0.914
0.8,0.8,2.3,2.3,0.932
0.8,0.8,2.4,2.4,0.926
0.8,0.8,2.5,2.5,0.928
0.8,0.8,2.6,2.6,0.914
0.8,0.8,2.7,2.7,0.892
0.8,0.8,2.8,2.8,0.872
0.8,0.8,2.9,2.9,0.862
0.8,0.8,3.0,3.0,0.87
0.8,0.8,3.1,3.1,0.86
0.8,0.8,3.2,3.2,0.828
0.8,0.8,3.3,3.3,0.806
0.8,0.8,3.4,3.4,0.806
0.8,0.8,3.5,3.5,0.784
0.8,0.8,3.6,3.6,0.746
0.8,0.8,3.7,3.7,0.804
0.8,0.8,3.8,3.8,0.774
0.8,0.8,3.9,3.9,0.726
0.8,0.8,4.0,4.0,0.706
0.8,0.8,4.1,4.1,0.716
0.8,0.8,4.2,4.2,0.656
0.8,0.8,4.3,4.3,0.708
0.8,0.8,4.4,4.4,0.634
0.8,0.8,4.5,4.5,0.564
0.8,0.8,4.6,4.6,0.606
0.8,0.8,4.7,4.7,0.542
0.8,0.8,4.8,4.8,0.572
0.8,0.8,4.9,4.9,0.584
0.8,0.8,5.0,5.0,0.526
0.8,0.8,5.1,5.1,0.562
0.8,0.8,5.2,5.2,0.498
0.8,0.8,5.3,5.3,0.526
0.8,0.8,5.4,5.4,0.538
0.8,0.8,5.5,5.5,0.508
0.8,0.8,5.6,5.6,0.512
0.8,0.8,5.7,5.7,0.508
0.8,0.8,5.8,5.8,0.514
0.8,0.8,5.9,5.9,0.52
0.8,0.8,6.0,6.0,0.5
0.8,0.8,6.1,6.1,0.464
0.8,0.8,6.2,6.2,0.488
0.8,0.8,6.3,6.3,0.508
0.8,0.8,6.4,6.4,0.506
0.8,0.8,6.5,6.5,0.534
0.8,0.8,6.6,6.6,0.502
0.8,0.8,6.7,6.7,0.522
0.8,0.8,6.8,6.8,0.482
0.8,0.8,6.9,6.9,0.476
0.8,0.8,7.0,7.0,0.46
0.8,0.8,7.1,7.1,0.496
0.8,0.8,7.2,7.2,0.532
0.8,0.8,7.3,7.3,0.464
0.8,0.8,7.4,7.4,0.54
0.8,0.8,7.5,7.5,0.524
0.8,0.8,7.6,7.6,0.528
0.8,0.8,7.7,7.7,0.516
0.8,0.8,7.8,7.8,0.51
0.8,0.8,7.9,7.9,0.498
0.8,0.8,8.0,8.0,0.546
0.8,0.8,8.1,8.1,0.502
0.8,0.8,8.2,8.2,0.494
0.8,0.8,8.3,8.3,0.484
0.8,0.8,8.4,8.4,0.522
0.8,0.8,8.5,8.5,0.468
0.8,0.8,8.6,8.6,0.5
0.8,0.8,8.7,8.7,0.504
0.8,0.8,8.8,8.8,0.49
0.8,0.8,8.9,8.9,0.47
0.8,0.8,9.0,9.0,0.504
0.8,0.8,9.1,9.1,0.534
0.8,0.8,9.2,9.2,0.442
0.8,0.8,9.3,9.3,0.484
0.8,0.8,9.4,9.4,0.482
0.8,0.8,9.5,9.5,0.494
0.8,0.8,9.6,9.6,0.51
0.8,0.8,9.7,9.7,0.51
0.8,0.8,9.8,9.8,0.53
0.8,0.8,9.9,9.9,0.5
0.8,0.8,10.0,10.0,0.506
0.8,0.8,10.1,10.1,0.496
0.8,0.8,10.2,10.2,0.498
0.8,0.8,10.3,10.3,0.512
0.8,0.8,10.4,10.4,0.5
0.8,0.8,10.5,10.5,0.52
0.8,0.8,10.6,10.6,0.506
0.8,0.8,10.7,10.7,0.524
0.8,0.8,10.8,10.8,0.496
0.8,0.8,10.9,10.9,0.504
0.8,0.8,11.0,11.0,0.514
0.8,0.8,11.1,11.1,0.518
0.8,0.8,11.2,11.2,0.47
0.8,0.8,11.3,11.3,0.494
0.8,0.8,11.4,11.4,0.54
0.8,0.8,11.5,11.5,0.51
0.8,0.8,11.6,11.6,0.5
0.8,0.8,11.7,11.7,0.49
0.8,0.8,11.8,11.8,0.476
0.8,0.8,11.9,11.9,0.468
0.8,0.8,12.0,12.0,0.478
0.8,0.8,12.1,12.1,0.474
0.8,0.8,12.2,12.2,0.476
0.8,0.8,12.3,12.3,0.502
0.8,0.8,12.4,12.4,0.512
0.8,0.8,12.5,12.5,0.534
0.8,0.8,12.6,12.6,0.48
0.8,0.8,12.7,12.7,0.506
0.8,0.8,12.8,12.8,0.472
0.8,0.8,12.9,12.9,0.45
0.8,0.8,13.0,13.0,0.502
0.8,0.8,13.1,13.1,0.504
0.8,0.8,13.2,13.2,0.526
0.8,0.8,13.3,13.3,0.474
0.8,0.8,13.4,13.4,0.476
0.8,0.8,13.5,13.5,0.502
0.8,0.8,13.6,13.6,0.494
0.8,0.8,13.7,13.7,0.5
0.8,0.8,13.8,13.8,0.53
0.8,0.8,13.9,13.9,0.486
0.8,0.8,14.0,14.0,0.498
0.8,0.8,14.1,14.1,0.518
0.8,0.8,14.2,14.2,0.508
0.8,0.8,14.3,14.3,0.49
0.8,0.8,14.4,14.4,0.502
0.8,0.8,14.5,14.5,0.476
0.8,0.8,14.6,14.6,0.472
0.8,0.8,14.7,14.7,0.55
0.8,0.8,14.8,14.8,0.494
0.8,0.8,14.9,14.9,0.492
0.8,0.8,15.0,15.0,0.502
0.9,0.9,0.0,0.0,0.958
0.9,0.9,0.1,0.1,0.94
0.9,0.9,0.2,0.2,0.93
0.9,0.9,0.3,0.3,0.942
0.9,0.9,0.4,0.4,0.93
0.9,0.9,0.5,0.5,0.946
0.9,0.9,0.6,0.6,0.956
0.9,0.9,0.7,0.7,0.964
0.9,0.9,0.8,0.8,0.956
0.9,0.9,0.9,0.9,0.954
0.9,0.9,1.0,1.0,0.956
0.9,0.9,1.1,1.1,0.952
0.9,0.9,1.2,1.2,0.944
0.9,0.9,1.3,1.3,0.946
0.9,0.9,1.4,1.4,0.956
0.9,0.9,1.5,1.5,0.95
0.9,0.9,1.6,1.6,0.946
0.9,0.9,1.7,1.7,0.932
0.9,0.9,1.8,1.8,0.93
0.9,0.9,1.9,1.9,0.948
0.9,0.9,2.0,2.0,0.932
0.9,0.9,2.1,2.1,0.93
0.9,0.9,2.2,2.2,0.916
0.9,0.9,2.3,2.3,0.918
0.9,0.9,2.4,2.4,0.918
0.9,0.9,2.5,2.5,0.902
0.9,0.9,2.6,2.6,0.902
0.9,0.9,2.7,2.7,0.904
0.9,0.9,2.8,2.8,0.894
